Time	yVcScHv_BatteryVoltage_DOC	yVcScHv_DcLinkVoltage_DOC	yVcScHv_IsolationResistance_DOC	yVcScHv_CrashSignal_DOC	yVcScHv_DriveEnable_DOC	yVcScHv_ChargeEnable_DOC	yVcScHv_ContactorFeedback_DOC	yVcScHv_PrechargeFeedback_DOC	yVcScHv_Command_DOC	DVcScHv_InvalidChannels_D	yVcScHv_ElapsedPrecharge_DOC	yVcScHv_PrechargeRequest_DOC	yVcScHv_MainRequest_DOC
0.71	0	0	0	1	0	0	0	0	0	8	0	0	0
0.72	0	0	0	1	0	0	0	0	0	8	0	0	0
0.73	0	0	0	1	0	0	0	0	0	8	0	0	0
0.74	400	395	500000	0	0	0	1	1	0	0	0	0	0
0.75	400	395	500000	0	0	0	1	1	0	0	0	0	0
0.76	400	395	500000	0	1	0	1	1	1	0	0	1	0
0.77	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.78	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.79	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.8	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.81	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.82	0	395	500000	0	1	0	1	1	3	1	0	0	0
0.83	0	395	500000	0	1	0	1	1	3	1	0	0	0
0.84	0	395	500000	0	1	0	1	1	3	1	0	0	0
0.85	0	395	500000	0	1	0	1	1	3	1	0	0	0
0.86	0	395	500000	0	1	0	1	1	3	1	0	0	0
0.87	400	395	500000	0	1	0	1	1	3	0	0	0	0
0.88	400	395	500000	0	1	0	1	1	3	0	0	0	0
0.89	400	395	500000	0	1	0	1	1	3	0	0	0	0
0.9	400	395	500000	0	1	0	1	1	3	0	0	0	0
0.91	0	0	0	1	0	0	0	0	0	8	0	0	0
0.92	0	0	0	1	0	0	0	0	0	8	0	0	0
0.93	0	0	0	1	0	0	0	0	0	8	0	0	0
0.94	400	395	500000	0	0	0	1	1	0	0	0	0	0
0.95	400	395	500000	0	0	0	1	1	0	0	0	0	0
0.96	400	395	500000	0	1	0	1	1	1	0	0	1	0
0.97	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.98	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.99	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.0	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.01	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.02	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.03	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.04	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.05	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.06	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.07	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.08	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.09	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.1	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.11	0	0	0	1	0	0	0	0	0	8	0	0	0
1.12	0	0	0	1	0	0	0	0	0	8	0	0	0
1.13	0	0	0	1	0	0	0	0	0	8	0	0	0
1.14	400	395	500000	0	0	0	1	1	0	0	0	0	0
1.15	400	395	500000	0	0	0	1	1	0	0	0	0	0
1.16	400	395	500000	0	1	0	1	1	1	0	0	1	0
1.17	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.18	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.19	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.2	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.21	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.22	0	395	500000	0	1	0	1	1	3	1	0	0	0
1.23	0	395	500000	0	1	0	1	1	3	1	0	0	0
1.24	0	395	500000	0	1	0	1	1	3	1	0	0	0
1.25	0	395	500000	0	1	0	1	1	3	1	0	0	0
1.26	0	395	500000	0	1	0	1	1	3	1	0	0	0
1.27	400	395	500000	0	1	0	1	1	3	0	0	0	0
1.28	400	395	500000	0	1	0	1	1	3	0	0	0	0
1.29	400	395	500000	0	1	0	1	1	3	0	0	0	0
1.3	400	395	500000	0	1	0	1	1	3	0	0	0	0
1.31	0	0	0	1	0	0	0	0	0	8	0	0	0
1.32	0	0	0	1	0	0	0	0	0	8	0	0	0
1.33	0	0	0	1	0	0	0	0	0	8	0	0	0
1.34	400	395	500000	0	0	0	1	1	0	0	0	0	0
1.35	400	395	500000	0	0	0	1	1	0	0	0	0	0
1.36	400	395	500000	0	1	0	1	1	1	0	0	1	0
1.37	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.38	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.39	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.4	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.41	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.42	0	395	500000	0	1	0	1	1	3	1	0	0	0
1.43	0	395	500000	0	1	0	1	1	3	1	0	0	0
1.44	0	395	500000	0	1	0	1	1	3	1	0	0	0
1.45	0	395	500000	0	1	0	1	1	3	1	0	0	0
1.46	0	395	500000	0	1	0	1	1	3	1	0	0	0
1.47	400	395	500000	0	1	0	1	1	3	0	0	0	0
1.48	400	395	500000	0	1	0	1	1	3	0	0	0	0
1.49	400	395	500000	0	1	0	1	1	3	0	0	0	0
1.5	400	395	500000	0	1	0	1	1	3	0	0	0	0
1.51	0	0	0	1	0	0	0	0	0	8	0	0	0
1.52	0	0	0	1	0	0	0	0	0	8	0	0	0
1.53	0	0	0	1	0	0	0	0	0	8	0	0	0
1.54	400	395	500000	0	0	0	1	1	0	0	0	0	0
1.55	400	395	500000	0	0	0	1	1	0	0	0	0	0
1.56	400	395	500000	0	1	0	1	1	1	0	0	1	0
1.57	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.58	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.59	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.6	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.61	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.62	400	0	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.63	400	0	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.64	400	0	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.65	400	0	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.66	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.67	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.68	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.69	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.7	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.71	0	0	0	1	0	0	0	0	0	8	0	0	0
1.72	0	0	0	1	0	0	0	0	0	8	0	0	0
1.73	0	0	0	1	0	0	0	0	0	8	0	0	0
1.74	400	395	500000	0	0	0	1	1	0	0	0	0	0
1.75	400	395	500000	0	0	0	1	1	0	0	0	0	0
1.76	400	395	500000	0	1	0	1	1	1	0	0	1	0
1.77	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.78	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.79	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.8	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.81	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.82	400	1000	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.83	400	1000	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.84	400	1000	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.85	400	1000	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.86	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.87	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.88	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.89	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.9	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.91	0	0	0	1	0	0	0	0	0	8	0	0	0
1.92	0	0	0	1	0	0	0	0	0	8	0	0	0
1.93	0	0	0	1	0	0	0	0	0	8	0	0	0
1.94	400	395	500000	0	0	0	1	1	0	0	0	0	0
1.95	400	395	500000	0	0	0	1	1	0	0	0	0	0
1.96	400	395	500000	0	1	0	1	1	1	0	0	1	0
1.97	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.98	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
1.99	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.0	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.01	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.02	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.03	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.04	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.05	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.06	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.07	400	395	500000	0	1	0	1	1	3	0	0	0	0
2.08	400	395	500000	0	1	0	1	1	3	0	0	0	0
2.09	400	395	500000	0	1	0	1	1	3	0	0	0	0
2.1	400	395	500000	0	1	0	1	1	3	0	0	0	0
2.11	0	0	0	1	0	0	0	0	0	8	0	0	0
2.12	0	0	0	1	0	0	0	0	0	8	0	0	0
2.13	0	0	0	1	0	0	0	0	0	8	0	0	0
2.14	400	395	500000	0	0	0	1	1	0	0	0	0	0
2.15	400	395	500000	0	0	0	1	1	0	0	0	0	0
2.16	400	395	500000	0	1	0	1	1	1	0	0	1	0
2.17	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.18	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.19	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.2	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.21	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.22	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.23	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.24	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.25	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.26	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.27	400	395	500000	0	1	0	1	1	3	0	0	0	0
2.28	400	395	500000	0	1	0	1	1	3	0	0	0	0
2.29	400	395	500000	0	1	0	1	1	3	0	0	0	0
2.3	400	395	500000	0	1	0	1	1	3	0	0	0	0
2.31	0	0	0	1	0	0	0	0	0	8	0	0	0
2.32	0	0	0	1	0	0	0	0	0	8	0	0	0
2.33	0	0	0	1	0	0	0	0	0	8	0	0	0
2.34	400	395	500000	0	0	0	1	1	0	0	0	0	0
2.35	400	395	500000	0	0	0	1	1	0	0	0	0	0
2.36	400	395	500000	0	1	0	1	1	1	0	0	1	0
2.37	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.38	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.39	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.4	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.41	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.42	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.43	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.44	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.45	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.46	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.47	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.48	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.49	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.5	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.51	0	0	0	1	0	0	0	0	0	8	0	0	0
2.52	0	0	0	1	0	0	0	0	0	8	0	0	0
2.53	0	0	0	1	0	0	0	0	0	8	0	0	0
2.54	400	395	500000	0	0	0	1	1	0	0	0	0	0
2.55	400	395	500000	0	0	0	1	1	0	0	0	0	0
2.56	400	395	500000	0	1	0	1	1	1	0	0	1	0
2.57	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.58	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.59	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.6	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.61	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.62	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.63	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.64	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.65	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.66	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.67	400	395	500000	0	1	0	1	1	3	0	0	0	0
2.68	400	395	500000	0	1	0	1	1	3	0	0	0	0
2.69	400	395	500000	0	1	0	1	1	3	0	0	0	0
2.7	400	395	500000	0	1	0	1	1	3	0	0	0	0
2.71	0	0	0	1	0	0	0	0	0	8	0	0	0
2.72	0	0	0	1	0	0	0	0	0	8	0	0	0
2.73	0	0	0	1	0	0	0	0	0	8	0	0	0
2.74	400	395	500000	0	0	0	1	1	0	0	0	0	0
2.75	400	395	500000	0	0	0	1	1	0	0	0	0	0
2.76	400	395	500000	0	1	0	1	1	1	0	0	1	0
2.77	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.78	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.79	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.8	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.81	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.82	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.83	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.84	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.85	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.86	400	0	500000	0	1	0	1	1	3	1	0	0	0
2.87	400	395	500000	0	1	0	1	1	3	0	0	0	0
2.88	400	395	500000	0	1	0	1	1	3	0	0	0	0
2.89	400	395	500000	0	1	0	1	1	3	0	0	0	0
2.9	400	395	500000	0	1	0	1	1	3	0	0	0	0
2.91	0	0	0	1	0	0	0	0	0	8	0	0	0
2.92	0	0	0	1	0	0	0	0	0	8	0	0	0
2.93	0	0	0	1	0	0	0	0	0	8	0	0	0
2.94	400	395	500000	0	0	0	1	1	0	0	0	0	0
2.95	400	395	500000	0	0	0	1	1	0	0	0	0	0
2.96	400	395	500000	0	1	0	1	1	1	0	0	1	0
2.97	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.98	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
2.99	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.0	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.01	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.02	400	395	0	0	1	0	1	1	3	0	0	0	0
3.03	400	395	0	0	1	0	1	1	3	0	0	0	0
3.04	400	395	0	0	1	0	1	1	3	0	0	0	0
3.05	400	395	0	0	1	0	1	1	3	0	0	0	0
3.06	400	395	500000	0	1	0	1	1	3	0	0	0	0
3.07	400	395	500000	0	1	0	1	1	3	0	0	0	0
3.08	400	395	500000	0	1	0	1	1	3	0	0	0	0
3.09	400	395	500000	0	1	0	1	1	3	0	0	0	0
3.1	400	395	500000	0	1	0	1	1	3	0	0	0	0
3.11	0	0	0	1	0	0	0	0	0	8	0	0	0
3.12	0	0	0	1	0	0	0	0	0	8	0	0	0
3.13	0	0	0	1	0	0	0	0	0	8	0	0	0
3.14	400	395	500000	0	0	0	1	1	0	0	0	0	0
3.15	400	395	500000	0	0	0	1	1	0	0	0	0	0
3.16	400	395	500000	0	1	0	1	1	1	0	0	1	0
3.17	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.18	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.19	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.2	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.21	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.22	400	395	2000000.0	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.23	400	395	2000000.0	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.24	400	395	2000000.0	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.25	400	395	2000000.0	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.26	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.27	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.28	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.29	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.3	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.31	0	0	0	1	0	0	0	0	0	8	0	0	0
3.32	0	0	0	1	0	0	0	0	0	8	0	0	0
3.33	0	0	0	1	0	0	0	0	0	8	0	0	0
3.34	400	395	500000	0	0	0	1	1	0	0	0	0	0
3.35	400	395	500000	0	0	0	1	1	0	0	0	0	0
3.36	400	395	500000	0	1	0	1	1	1	0	0	1	0
3.37	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.38	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.39	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.4	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.41	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.42	400	395	0	0	1	0	1	1	3	1	0	0	0
3.43	400	395	0	0	1	0	1	1	3	1	0	0	0
3.44	400	395	0	0	1	0	1	1	3	1	0	0	0
3.45	400	395	0	0	1	0	1	1	3	1	0	0	0
3.46	400	395	0	0	1	0	1	1	3	1	0	0	0
3.47	400	395	500000	0	1	0	1	1	3	0	0	0	0
3.48	400	395	500000	0	1	0	1	1	3	0	0	0	0
3.49	400	395	500000	0	1	0	1	1	3	0	0	0	0
3.5	400	395	500000	0	1	0	1	1	3	0	0	0	0
3.51	0	0	0	1	0	0	0	0	0	8	0	0	0
3.52	0	0	0	1	0	0	0	0	0	8	0	0	0
3.53	0	0	0	1	0	0	0	0	0	8	0	0	0
3.54	400	395	500000	0	0	0	1	1	0	0	0	0	0
3.55	400	395	500000	0	0	0	1	1	0	0	0	0	0
3.56	400	395	500000	0	1	0	1	1	1	0	0	1	0
3.57	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.58	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.59	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.6	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.61	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.62	400	395	0	0	1	0	1	1	3	1	0	0	0
3.63	400	395	0	0	1	0	1	1	3	1	0	0	0
3.64	400	395	0	0	1	0	1	1	3	1	0	0	0
3.65	400	395	0	0	1	0	1	1	3	1	0	0	0
3.66	400	395	0	0	1	0	1	1	3	1	0	0	0
3.67	400	395	500000	0	1	0	1	1	3	0	0	0	0
3.68	400	395	500000	0	1	0	1	1	3	0	0	0	0
3.69	400	395	500000	0	1	0	1	1	3	0	0	0	0
3.7	400	395	500000	0	1	0	1	1	3	0	0	0	0
3.71	0	0	0	1	0	0	0	0	0	8	0	0	0
3.72	0	0	0	1	0	0	0	0	0	8	0	0	0
3.73	0	0	0	1	0	0	0	0	0	8	0	0	0
3.74	400	395	500000	0	0	0	1	1	0	0	0	0	0
3.75	400	395	500000	0	0	0	1	1	0	0	0	0	0
3.76	400	395	500000	0	1	0	1	1	1	0	0	1	0
3.77	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.78	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.79	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.8	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.81	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.82	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.83	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.84	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.85	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.86	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.87	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.88	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.89	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.9	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
3.91	0	0	0	1	0	0	0	0	0	8	0	0	0
3.92	0	0	0	1	0	0	0	0	0	8	0	0	0
3.93	0	0	0	1	0	0	0	0	0	8	0	0	0
3.94	400	395	500000	0	0	0	1	1	0	0	0	0	0
3.95	400	395	500000	0	0	0	1	1	0	0	0	0	0
3.96	400	395	500000	0	1	0	1	1	1	0	0	1	0
3.97	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
